Step 27.0 timing breakdown: {'connect_bs': 7.081031799316406e-05, 'update_connections': 0.0010540485382080078, 'generate_jobs': 0.014255046844482422, 'action_transformation': 4.291534423828125e-06, 'apply_actions': 5.984306335449219e-05, 'update_datarates': 0.0038268566131591797, 'macro_datarates': 3.528594970703125e-05, 'data_transfer': 0.014623880386352539, 'data_processing': 0.007667064666748047, 'check_delays': 0.0014710426330566406, 'compute_utilities': 0.0001537799835205078, 'compute_rewards': 0.004455089569091797, 'update_movements': 6.413459777832031e-05, 'update_active': 7.152557373046875e-06, 'compute_observation': 0.00014209747314453125, 'total': 0.0480189323425293}
Step 28.0 timing breakdown: {'connect_bs': 7.033348083496094e-05, 'update_connections': 0.0009818077087402344, 'generate_jobs': 0.013709068298339844, 'action_transformation': 4.0531158447265625e-06, 'apply_actions': 5.888938903808594e-05, 'update_datarates': 0.003857851028442383, 'macro_datarates': 3.600120544433594e-05, 'data_transfer': 0.014168977737426758, 'data_processing': 0.008597850799560547, 'check_delays': 0.0013461112976074219, 'compute_utilities': 0.00015616416931152344, 'compute_rewards': 0.004357814788818359, 'update_movements': 6.198883056640625e-05, 'update_active': 7.152557373046875e-06, 'compute_observation': 0.0001399517059326172, 'total': 0.04767894744873047}
Step 29.0 timing breakdown: {'connect_bs': 7.224082946777344e-05, 'update_connections': 0.0011017322540283203, 'generate_jobs': 0.014082193374633789, 'action_transformation': 4.0531158447265625e-06, 'apply_actions': 7.414817810058594e-05, 'update_datarates': 0.003847837448120117, 'macro_datarates': 3.409385681152344e-05, 'data_transfer': 0.014746904373168945, 'data_processing': 0.008945941925048828, 'check_delays': 0.0014121532440185547, 'compute_utilities': 0.00016498565673828125, 'compute_rewards': 0.004531145095825195, 'update_movements': 6.175041198730469e-05, 'update_active': 7.867813110351562e-06, 'compute_observation': 0.00014781951904296875, 'total': 0.0493621826171875}
Step 30.0 timing breakdown: {'connect_bs': 7.200241088867188e-05, 'update_connections': 0.0010111331939697266, 'generate_jobs': 0.013847827911376953, 'action_transformation': 4.0531158447265625e-06, 'apply_actions': 5.888938903808594e-05, 'update_datarates': 0.0038299560546875, 'macro_datarates': 3.314018249511719e-05, 'data_transfer': 0.01402902603149414, 'data_processing': 0.009143829345703125, 'check_delays': 0.0013420581817626953, 'compute_utilities': 0.00015592575073242188, 'compute_rewards': 0.00504302978515625, 'update_movements': 6.031990051269531e-05, 'update_active': 7.867813110351562e-06, 'compute_observation': 0.00014090538024902344, 'total': 0.0489041805267334}
Step 31.0 timing breakdown: {'connect_bs': 6.818771362304688e-05, 'update_connections': 0.000985860824584961, 'generate_jobs': 0.013544321060180664, 'action_transformation': 3.814697265625e-06, 'apply_actions': 5.91278076171875e-05, 'update_datarates': 0.003911256790161133, 'macro_datarates': 3.3855438232421875e-05, 'data_transfer': 0.01458120346069336, 'data_processing': 0.007456779479980469, 'check_delays': 0.0013151168823242188, 'compute_utilities': 0.00015282630920410156, 'compute_rewards': 0.004388093948364258, 'update_movements': 6.103515625e-05, 'update_active': 6.9141387939453125e-06, 'compute_observation': 0.00014400482177734375, 'total': 0.04683709144592285}
Step 32.0 timing breakdown: {'connect_bs': 7.82012939453125e-05, 'update_connections': 0.0010578632354736328, 'generate_jobs': 0.012530088424682617, 'action_transformation': 3.814697265625e-06, 'apply_actions': 5.316734313964844e-05, 'update_datarates': 0.00394892692565918, 'macro_datarates': 3.4809112548828125e-05, 'data_transfer': 0.013030290603637695, 'data_processing': 0.006257772445678711, 'check_delays': 0.001668691635131836, 'compute_utilities': 0.0001621246337890625, 'compute_rewards': 0.0033059120178222656, 'update_movements': 7.700920104980469e-05, 'update_active': 1.9073486328125e-05, 'compute_observation': 0.0001621246337890625, 'total': 0.04253196716308594}
Step 33.0 timing breakdown: {'connect_bs': 6.818771362304688e-05, 'update_connections': 0.001062154769897461, 'generate_jobs': 0.01429295539855957, 'action_transformation': 4.0531158447265625e-06, 'apply_actions': 5.698204040527344e-05, 'update_datarates': 0.0038080215454101562, 'macro_datarates': 3.4809112548828125e-05, 'data_transfer': 0.014644861221313477, 'data_processing': 0.0076329708099365234, 'check_delays': 0.0014810562133789062, 'compute_utilities': 0.0001609325408935547, 'compute_rewards': 0.004522085189819336, 'update_movements': 5.984306335449219e-05, 'update_active': 8.344650268554688e-06, 'compute_observation': 0.0001437664031982422, 'total': 0.04810595512390137}
Step 34.0 timing breakdown: {'connect_bs': 6.914138793945312e-05, 'update_connections': 0.0010251998901367188, 'generate_jobs': 0.011837005615234375, 'action_transformation': 4.0531158447265625e-06, 'apply_actions': 0.0001480579376220703, 'update_datarates': 0.0038530826568603516, 'macro_datarates': 3.409385681152344e-05, 'data_transfer': 0.012504816055297852, 'data_processing': 0.0046100616455078125, 'check_delays': 0.0013489723205566406, 'compute_utilities': 0.00015592575073242188, 'compute_rewards': 0.002207040786743164, 'update_movements': 6.031990051269531e-05, 'update_active': 6.9141387939453125e-06, 'compute_observation': 0.00013494491577148438, 'total': 0.03812098503112793}
Step 35.0 timing breakdown: {'connect_bs': 8.869171142578125e-05, 'update_connections': 0.0011951923370361328, 'generate_jobs': 0.016093969345092773, 'action_transformation': 6.198883056640625e-06, 'apply_actions': 6.604194641113281e-05, 'update_datarates': 0.004026174545288086, 'macro_datarates': 4.410743713378906e-05, 'data_transfer': 0.015558958053588867, 'data_processing': 0.008647918701171875, 'check_delays': 0.0015611648559570312, 'compute_utilities': 0.0001609325408935547, 'compute_rewards': 0.007415056228637695, 'update_movements': 7.724761962890625e-05, 'update_active': 2.09808349609375e-05, 'compute_observation': 0.0002002716064453125, 'total': 0.05532121658325195}
Step 36.0 timing breakdown: {'connect_bs': 0.00011086463928222656, 'update_connections': 0.0016582012176513672, 'generate_jobs': 0.014409065246582031, 'action_transformation': 2.86102294921875e-06, 'apply_actions': 5.817413330078125e-05, 'update_datarates': 0.003851652145385742, 'macro_datarates': 3.504753112792969e-05, 'data_transfer': 0.01442408561706543, 'data_processing': 0.006678104400634766, 'check_delays': 0.0014820098876953125, 'compute_utilities': 0.0001552104949951172, 'compute_rewards': 0.004078865051269531, 'update_movements': 6.389617919921875e-05, 'update_active': 7.867813110351562e-06, 'compute_observation': 0.0001461505889892578, 'total': 0.04728984832763672}
Step 37.0 timing breakdown: {'connect_bs': 6.890296936035156e-05, 'update_connections': 0.001233816146850586, 'generate_jobs': 0.012865066528320312, 'action_transformation': 5.0067901611328125e-06, 'apply_actions': 5.888938903808594e-05, 'update_datarates': 0.0039098262786865234, 'macro_datarates': 3.504753112792969e-05, 'data_transfer': 0.013657093048095703, 'data_processing': 0.006855964660644531, 'check_delays': 0.0014410018920898438, 'compute_utilities': 0.0001571178436279297, 'compute_rewards': 0.003735065460205078, 'update_movements': 6.103515625e-05, 'update_active': 6.9141387939453125e-06, 'compute_observation': 0.0001418590545654297, 'total': 0.04435372352600098}
Step 38.0 timing breakdown: {'connect_bs': 6.794929504394531e-05, 'update_connections': 0.0012118816375732422, 'generate_jobs': 0.013577938079833984, 'action_transformation': 3.814697265625e-06, 'apply_actions': 5.698204040527344e-05, 'update_datarates': 0.0038900375366210938, 'macro_datarates': 3.504753112792969e-05, 'data_transfer': 0.014219045639038086, 'data_processing': 0.0068607330322265625, 'check_delays': 0.00144195556640625, 'compute_utilities': 0.00015783309936523438, 'compute_rewards': 0.00445103645324707, 'update_movements': 6.103515625e-05, 'update_active': 6.9141387939453125e-06, 'compute_observation': 0.00014519691467285156, 'total': 0.04632902145385742}
